,ENJUSDT,FTMUSDT,Spread,Zscore
0,0.6104,0.3369,-0.012864999999999904,
1,0.6075,0.334,-0.010400000000000076,
2,0.6152,0.3379,-0.009915000000000007,
3,0.603,0.3347,-0.01619500000000007,
4,0.6157,0.34,-0.01330000000000009,
5,0.62,0.342,-0.012700000000000045,
6,0.6178,0.3432,-0.017120000000000024,
7,0.6089,0.3406,-0.021210000000000062,
8,0.6046,0.3374,-0.019589999999999996,
9,0.6102,0.3406,-0.019910000000000094,
10,0.6172,0.3497,-0.029745000000000132,
11,0.6195,0.348,-0.02429999999999999,
12,0.6221,0.3477,-0.02114500000000008,
13,0.6308,0.3465,-0.010224999999999929,
14,0.6249,0.3431,-0.009835000000000038,
15,0.638,0.3487,-0.0070950000000000735,
16,0.6388,0.3486,-0.00611000000000006,
17,0.6428,0.351,-0.006549999999999945,
18,0.6355,0.3486,-0.00941000000000014,
19,0.6548,0.357,-0.005649999999999933,
20,0.6525,0.3581,-0.009985000000000022,0.6017196257351493
21,0.6867,0.3601,0.02051499999999995,3.281330322343601
22,0.672,0.3574,0.010809999999999986,1.974886254714314
23,0.6537,0.3459,0.013784999999999936,1.9216359592327346
24,0.6403,0.343,0.005749999999999922,1.159263698464461
25,0.6269,0.3377,0.002155000000000018,0.8110630921676476
26,0.6309,0.3364,0.008560000000000012,1.1809103664268528
27,0.629,0.3347,0.009804999999999953,1.151914884592703
28,0.6442,0.3383,0.018344999999999945,1.5720312814953887
29,0.6429,0.3375,0.018524999999999903,1.4217632511363658
30,0.6457,0.3398,0.01707000000000003,1.202252111537667
31,0.6355,0.3412,0.0042799999999999505,0.2542209401386938
32,0.643,0.347,0.0010499999999999954,-0.09045759553314166
33,0.6374,0.3421,0.004514999999999936,0.10973676449093726
34,0.6399,0.3447,0.0022050000000000125,-0.17042935377715726
35,0.634,0.3431,-0.0007350000000000412,-0.5240360928345638
36,0.621,0.338,-0.0043000000000000815,-0.9171999884229862
37,0.6301,0.3436,-0.00556000000000012,-1.054423937932803
38,0.6404,0.3524,-0.011539999999999995,-1.596876281464606
39,0.6369,0.3491,-0.008935000000000026,-1.3408251366806117
40,0.6393,0.3501,-0.008385000000000087,-1.2523968049645318
41,0.6339,0.3447,-0.003794999999999993,-0.8545032407504383
42,0.6321,0.3435,-0.003375000000000128,-0.7388852239783524
43,0.6332,0.3458,-0.006530000000000036,-0.986870072025453
44,0.6344,0.3485,-0.010325000000000029,-1.2716453911039365
45,0.6406,0.347,-0.0013500000000000734,-0.26012797542922
46,0.6356,0.3442,-0.0011700000000000044,-0.22298243044240076
47,0.6355,0.3441,-0.0010850000000001137,-0.16659091913657653
48,0.6367,0.3435,0.0012249999999999206,0.13935244825081566
49,0.629,0.3381,0.003514999999999935,0.5451864028670446
50,0.6128,0.3295,0.0032249999999999224,0.7223230132485433
51,0.6128,0.3283,0.005445000000000033,1.4445052678468995
52,0.6243,0.3346,0.005289999999999906,1.387249900237061
53,0.6332,0.3425,-0.0004250000000001197,0.3051733442146156
54,0.6291,0.3403,-0.0004549999999999832,0.35922778309470693
55,0.6291,0.34,9.999999999987796e-05,0.49838520247530577
56,0.6331,0.3397,0.004654999999999965,1.315632508622293
57,0.626,0.3404,-0.0037399999999999656,-0.32905857703412045
58,0.6223,0.3358,0.0010699999999999044,0.5525311403924266
59,0.6267,0.3384,0.0006599999999999939,0.39705820943069386
60,0.623,0.3348,0.0036199999999999566,0.9652252664197495
61,0.6242,0.3371,0.0005649999999999267,0.17778337376641723
62,0.6191,0.3281,0.012114999999999987,2.46004826851751
63,0.6238,0.3306,0.012190000000000034,2.078159382167951
64,0.6176,0.3276,0.011539999999999995,1.7472871316375695
65,0.6321,0.3328,0.01641999999999999,2.4023571193888773
66,0.648,0.3389,0.021035000000000026,2.5431975481285383
67,0.6577,0.3398,0.02906999999999993,2.7939584987898747
68,0.6412,0.3368,0.018120000000000025,1.3192518729945788
69,0.6323,0.3347,0.013104999999999922,0.662306866410076
70,0.6325,0.3367,0.009604999999999975,0.21688776646423832
71,0.6333,0.3373,0.009294999999999942,0.14704833085678518
72,0.6401,0.341,0.00924999999999998,0.12035731971987174
73,0.6357,0.3395,0.007624999999999993,-0.08724457977906784
74,0.642,0.3446,0.004489999999999994,-0.5023478005979254
75,0.6437,0.3421,0.010815000000000019,0.2140868898093571
76,0.637,0.3386,0.010589999999999988,0.1267245676687821
77,0.6262,0.3415,-0.005575000000000108,-1.7810727121659309
78,0.6138,0.3276,0.007739999999999969,-0.2514419142101445
79,0.6061,0.3195,0.015024999999999955,0.6196815883314756
80,0.6045,0.3217,0.009355000000000002,-0.19478946865980998
81,0.6094,0.3217,0.014255000000000018,0.4226642695300971
82,0.614,0.3265,0.009974999999999956,-0.262240195990273
83,0.6128,0.3274,0.00710999999999995,-0.6505539487691872
84,0.6053,0.3265,0.001274999999999915,-1.3697461171648349
85,0.6016,0.3241,0.002014999999999989,-1.1580639996789173
86,0.6085,0.3303,-0.002554999999999974,-1.5737771924099215
87,0.6085,0.3301,-0.0021849999999999925,-1.3929775975976455
88,0.6045,0.328,-0.0022999999999999687,-1.4508048874336976
89,0.6093,0.3301,-0.0013850000000000806,-1.2172822522632845
90,0.621,0.3351,0.0010649999999999826,-0.7393625496762215
91,0.6197,0.3337,0.002354999999999996,-0.4698103590251869
92,0.628,0.3395,-7.500000000004725e-05,-0.7994065627424148
93,0.621,0.3359,-0.0004149999999999432,-0.7786769999415974
94,0.6147,0.3323,-5.500000000002725e-05,-0.6555185123816232
95,0.6149,0.3327,-0.0005950000000000122,-0.6962699743620911
96,0.6179,0.3329,0.002035000000000009,-0.20243512576489497
97,0.6164,0.3349,-0.0031650000000000844,-0.9941920197253448
98,0.6175,0.3343,-0.0009549999999999281,-0.6775990281025822
99,0.6065,0.329,-0.0021499999999999853,-0.8119375409238323
100,0.598,0.32,0.005999999999999894,0.8642641724040634
101,0.6044,0.3249,0.003334999999999977,0.3892027543837298
102,0.6031,0.325,0.0018499999999999073,0.24794036412147089
103,0.609,0.3295,-0.0005750000000001032,-0.3985983163087542
104,0.6095,0.3291,0.0006650000000000267,0.2066394904298282
105,0.6155,0.332,0.0012999999999999678,0.4877330557918404
106,0.616,0.333,-5.0000000000105516e-05,-0.06865776184435209
107,0.614,0.332,-0.000200000000000089,-0.19424536614779703
108,0.623,0.3366,0.00028999999999990145,-0.020450250076723794
109,0.6231,0.337,-0.0003500000000000725,-0.39170925349310826
110,0.6218,0.3389,-0.005164999999999975,-2.3546065568826666
111,0.625,0.3396,-0.0032600000000000406,-1.3680671418256527
112,0.6272,0.3407,-0.00309500000000007,-1.1767225381042983
113,0.6285,0.3424,-0.0049400000000000555,-1.6933906694925283
114,0.633,0.3411,0.0019649999999999945,0.8525475278296772
115,0.6345,0.3437,-0.0013450000000000406,-0.34860238582583825
116,0.6405,0.3456,0.0011399999999999189,0.5338718975124068
117,0.641,0.3445,0.003674999999999984,1.3867410056431189
118,0.645,0.3428,0.010820000000000052,2.86177799367031
119,0.646,0.3423,0.012745000000000006,2.593418344424676
120,0.6391,0.3408,0.008619999999999961,1.4889501392201165
121,0.6408,0.3419,0.008284999999999987,1.3572030620905478
122,0.6263,0.3389,-0.0006650000000000267,-0.44728543640957236
123,0.6293,0.3374,0.005109999999999948,0.6993457491776479
124,0.6495,0.3514,-0.0005900000000000905,-0.45767520754682545
125,0.651,0.3512,0.0012799999999999478,-0.08407992225441374
126,0.6528,0.3542,-0.0024699999999999722,-0.7960992077890993
127,0.6548,0.3525,0.002675000000000094,0.20629381794817836
128,0.6607,0.3591,-0.003635000000000055,-0.9999587193364049
129,0.6563,0.3616,-0.012660000000000005,-2.2634899954324292
130,0.647,0.3575,-0.014375000000000027,-2.1306838378907824
131,0.6455,0.353,-0.007550000000000057,-1.0980277344359124
132,0.644,0.3476,0.0009399999999999409,0.0951648207391348
133,0.6455,0.3516,-0.0049600000000000755,-0.7396439043378112
134,0.6493,0.3508,0.00031999999999998696,-0.01806248235996704
135,0.6509,0.3475,0.00802500000000006,1.0329972841088486
136,0.6484,0.3475,0.005525000000000002,0.6273789473355886
137,0.6576,0.3587,-0.005995000000000084,-0.922178092148574
138,0.661,0.3602,-0.005369999999999986,-0.7683845400174911
139,0.7075,0.362,0.037800000000000056,3.3445123620450206
140,0.6657,0.3572,0.004879999999999884,0.3485821415420911
141,0.6793,0.3606,0.012190000000000034,1.0101738332730938
142,0.6771,0.3589,0.013135000000000008,1.05643481971607
143,0.6764,0.3579,0.014284999999999992,1.0646369527884498
144,0.682,0.3577,0.020255000000000023,1.4470978744655179
145,0.6737,0.3555,0.016024999999999956,1.0003189081537431
146,0.6802,0.3616,0.011240000000000028,0.5649585340829394
147,0.6828,0.3673,0.003294999999999937,-0.10487830094452794
148,0.6698,0.3608,0.0023199999999998777,-0.18342338137182002
149,0.6803,0.3763,-0.015855000000000063,-1.5399464070682198
150,0.6827,0.3792,-0.01882000000000006,-1.6871746392913314
151,0.6846,0.3787,-0.01599499999999998,-1.4571293193224997
152,0.6814,0.3791,-0.019935000000000036,-1.614571672296654
153,0.6812,0.3779,-0.017915000000000014,-1.341785368756631
154,0.6829,0.3764,-0.013440000000000119,-0.9941831722167233
155,0.6876,0.377,-0.009850000000000025,-0.7171452941644608
156,0.6919,0.3765,-0.004625000000000101,-0.34062169560127686
157,0.7018,0.3754,0.007309999999999928,0.4271147646823868
158,0.6985,0.3817,-0.007645000000000013,-0.5343954530905526
159,0.6943,0.3822,-0.012769999999999948,-0.8304003792458933
160,0.6871,0.3748,-0.006280000000000063,-0.33808647214348403
161,0.6879,0.3709,0.001734999999999931,0.28199889259775635
162,0.6906,0.3713,0.003694999999999893,0.4739949282804353
163,0.6887,0.369,0.00605,0.7029903588570319
164,0.6926,0.3725,0.003475000000000006,0.5613094199866213
165,0.6882,0.3699,0.0038850000000000273,0.7299990949149623
166,0.6887,0.3689,0.0062349999999999905,1.0612667943011584
167,0.6911,0.3721,0.002715000000000023,0.7922307252503213
168,0.6948,0.3728,0.005119999999999902,1.0249618612097333
169,0.6961,0.3755,0.0014250000000000096,0.6492876939264209
170,0.7007,0.3779,0.0015849999999999476,0.5951009730485607
171,0.7079,0.3815,0.0021249999999999325,0.5808339382759453
172,0.6966,0.3755,0.0019249999999999545,0.4871829770582408
173,0.6949,0.3757,-0.00014500000000006175,0.1455164251591904
174,0.6942,0.3776,-0.0043600000000000305,-0.6034977013046756
175,0.6892,0.374,-0.0027000000000000357,-0.4737655705150728
176,0.6854,0.3741,-0.006685000000000052,-1.268179487946659
177,0.6881,0.3767,-0.008794999999999997,-1.551436274848757
178,0.6913,0.3856,-0.02205999999999997,-2.8870235438374503
179,0.6908,0.3853,-0.022005000000000052,-2.380009317554987
180,0.6906,0.3788,-0.010180000000000078,-0.9925313211989774
181,0.6908,0.3789,-0.01016500000000009,-0.9514721246823498
182,0.6951,0.3787,-0.005494999999999917,-0.3501321181009775
183,0.6914,0.3764,-0.0049400000000000555,-0.23699262434509474
184,0.6898,0.3752,-0.0043199999999999905,-0.10433382486165639
185,0.691,0.3772,-0.006820000000000048,-0.3642091808311685
186,0.694,0.3765,-0.0025250000000001105,0.23247421362046944
187,0.6898,0.371,0.003449999999999953,1.0613558308004212
188,0.6859,0.3682,0.004729999999999901,1.2032947290166578
189,0.6868,0.3686,0.00488999999999995,1.2283417624267123
190,0.6874,0.3697,0.003454999999999986,1.012247453446801
191,0.6882,0.37,0.0037000000000000366,1.0185719583496646
192,0.6856,0.3708,-0.00038000000000004697,0.5094264104115118
193,0.6858,0.3722,-0.00277000000000005,0.22854576635384652
194,0.6848,0.3704,-0.00044000000000010697,0.5420833603618461
195,0.677,0.367,-0.0019500000000000073,0.32403777211793555
196,0.6672,0.3593,0.002494999999999914,0.8670443901088387
197,0.6747,0.3621,0.004815000000000014,1.0685539209581107
198,0.6713,0.3656,-0.005059999999999953,-0.21228827844856685
199,0.674,0.3647,-0.0006950000000000012,0.2603919836702418
